ImgID,Quality,Country,Season,Variety,PlotSize_acres,EstimatedYieldKG,YieldPerAcre
id_35dd740b,0,Kenya,2017 LR,H 6213,0.25,1388.58,5554.32
id_e7bc5145,0,Kenya,2017 LR,H 6213,0.25,1388.58,5554.32
id_41724e56,0,Kenya,2017 LR,H 6213,1,5255.86,5255.86
id_83f300f1,0,Kenya,2017 LR,SC SIMBA 61,0.5,2529.29,5058.57
id_565e8a99,,Rwanda,2018B,pan_4m2,0.49421,2484,5026.2
id_9dca2df5,2,Kenya,2017 LR,SC DUMA 43,0.5,2478.7,4957.4
id_a3c3c5bd,,Rwanda,2018B,pan_4m2,0.163089298,764.28,4686.26
id_bd187a4b,3,Kenya,2017 LR,H 6213,0.5,2342.12,4684.24
id_4ea6aaa0,0,Kenya,2017 LR,H 6213,1,4664.01,4664.01
id_4bf56ca1,,Rwanda,2018B,pan_4m2,0.0741315,344.4,4645.8
id_203ed3d8,0,Kenya,2016 LR,H_6213,0.75,3319.69,4426.25
id_0dddc15a,0,Kenya,2017 LR,DK 8031,0.5,2071.49,4142.97
id_2f0c5dc8,0,Kenya,2017 LR,H 6213,1,4140.44,4140.44
id_95e37f4d,3,Kenya,2017 LR,WH 505,0.5,2044.93,4089.86
id_3d95a55f,0,Kenya,2017 LR,H 6213,2,8134.19,4067.09
id_dcabf705,0,Kenya,2017 LR,PN 15,0.5,2023.43,4046.86
id_2c170647,0,Kenya,2016 LR,H_6213,1,4003.86,4003.86
id_00e2d45b,,Rwanda,2018B,pan_4m2,0.1235525,487,3941.64
id_ff99f1b9,,Rwanda,2018B,pan_4m2,0.717840006,2809.13,3913.31
id_b46ef77a,0,Kenya,2017 LR,PAN 691,0.5,1927.32,3854.63
id_8162d8b7,,Rwanda,2018B,pan_53,0.471970559,1791.58,3795.95
id_a0ed354a,,Rwanda,2018B,pan_4m2,0.119598812,436.08,3646.22
id_fa86ee33,0,Kenya,2017 LR,Pioneer P3812W,0.5,1808.44,3616.88
id_5316f8a3,0,Kenya,2017 LR,Pioneer P3812W,1.5,5422.29,3614.86
id_fe59dcdf,0,Kenya,2017 LR,DK 8031,0.5,1795.79,3591.59
id_55479795,0,Kenya,2017 LR,H 6218,1.5,5372.21,3581.47
id_842193cf,,Tanzania,2017 LR,PAN 691,2,7082.01,3541
id_8a0cafd6,0,Kenya,2017 LR,DK 8031,0.5,1750.27,3500.53
id_8c502513,0,Kenya,2017 LR,DK 8031,1.25,4372.51,3498
id_4d2dddab,0,Kenya,2017 LR,H 614D,0.5,1733.83,3467.65
id_f92f3516,0,Kenya,2016 LR,PAN_691,0.25,860.59,3442.36
id_701d580c,1,Kenya,2017 LR,SC Tembo 73,0.25,857.18,3428.7
id_5b502125,0,Kenya,2017 LR,SC PUNDA MILIA 53,1,3427.18,3427.18
id_70ef1fc6,0,Kenya,2017 LR,H 6213,1,3414.54,3414.54
id_edc06fff,0,Kenya,2016 LR,H_6218,0.5,1704.74,3409.48
id_42246be4,3,Kenya,2017 LR,WH 509,1.5,5106.63,3404.42
id_96c61f26,0,Kenya,2016 LR,H_614D,1,3401.89,3401.89
id_b6336c3b,0,Kenya,2016 LR,H_6213,1,3391.77,3391.77
id_26224596,,Rwanda,2018B,pan_53,0.3212365,1088.1,3387.22
id_1a18da9a,0,Kenya,2017 LR,H 614D,0.5,1689.56,3379.13
id_3b3101d2,0,Kenya,2017 LR,H 6213,1,3369.01,3369.01
id_e61ad88e,0,Kenya,2017 LR,WH 509,1,3351.31,3351.31
id_72f14d4a,,Rwanda,2018B,pan_4m2,0.16061825,529.75,3298.19
id_662a511d,0,Kenya,2017 LR,H 6213,0.5,1633.92,3267.84
id_7a9ed384,3,Kenya,2017 LR,H 6213,0.5,1631.39,3262.78
id_9dabae5a,0,Kenya,2016 LR,H_6213,0.5,1625.07,3250.13
id_2f4b4309,0,Kenya,2017 LR,H 6213,0.25,800.65,3202.58
id_2972e807,0,Kenya,2017 LR,H 614D,1,3194.49,3194.49
id_e582e48d,0,Kenya,2017 LR,H 6213,0.3,954.55,3181.84
id_d15d34f7,,Rwanda,2018B,pan_53,0.266873405,846.72,3172.74
id_49896b82,0,Kenya,2017 LR,H 6213,0.5,1585.86,3171.73
id_9247172c,3,Kenya,2017 LR,H 6213,1,3169.7,3169.7
id_9342e5ae,0,Kenya,2017 LR,H 6213,0.25,786.61,3146.43
id_86d7e339,3,Kenya,2016 LR,H_6213,0.25,785.34,3141.38
id_51c88d6a,0,Kenya,2017 LR,PAN 691,0.5,1568.16,3136.32
id_1a7be492,0,Kenya,2017 LR,H 6218,1,3131.26,3131.26
id_0e464bb7,0,Kenya,2017 LR,H 6213,1.5,4689.3,3126.2
id_044a57cc,0,Kenya,2017 LR,PN 15,1,3123.67,3123.67
id_361e3022,0,Kenya,2017 LR,WH 509,0.5,1561.84,3123.67
id_674c2126,1,Kenya,2016 LR,H_6213,0.5,1559.31,3118.61
id_dd03a2f7,0,Kenya,2016 LR,PAN 691,0.75,2333.27,3111.02
id_9417faf7,0,Kenya,2017 LR,H 614D,0.5,1554.25,3108.49
id_a029346e,0,Kenya,2017 LR,H 6213,2,6211.93,3105.97
id_b5bf0e3b,2,Kenya,2017 LR,H 614D,0.7,2172.41,3103.44
id_147c804e,0,Kenya,2016 LR,WH_505,1,3085.73,3085.73
id_7c257b0d,0,Kenya,2017 LR,H 6213,0.5,1541.6,3083.2
id_dfd08f12,0,Kenya,2017 LR,H 614D,0.5,1540.34,3080.67
id_764cb777,2,Kenya,2017 LR,H 6213,0.5,1539.07,3078.14
id_e28c2bcd,0,Kenya,2017 LR,H 6213,0.5,1539.07,3078.14
id_bc86107f,0,Kenya,2017 LR,Pioneer P3812W,5,15352.78,3070.56
id_d0b3fbcd,0,Kenya,2017 LR,PN 15,0.5,1535.28,3070.56
id_d33c0313,0,Kenya,2016 LR,H_6213,0.5,1534.01,3068.03
id_7288066f,0,Kenya,2017 LR,SC SIMBA 61,0.5,1532.75,3065.5
id_810a2f85,,Rwanda,2018B,pan_4m2,0.197684,604.8,3059.43
id_bb278e04,2,Kenya,2016 LR,H_6213,0.5,1526.43,3052.85
id_93ce50ae,,Tanzania,2018 LR,Dk_8053,2,6104.01,3052.01
id_29ccd920,3,Kenya,2017 LR,DK 8031,1,3035.14,3035.14
id_2aaa6cd1,0,Kenya,2017 LR,WH 505,1,3035.14,3035.14
id_02208940,3,Kenya,2017 LR,H 6213,1.25,3793.3,3034.64
id_b164d3fa,,Rwanda,2018B,pan_4m2,0.044478899,134.46,3023
id_5cdc134e,0,Kenya,2017 LR,H 6213,0.25,755.62,3022.5
id_097b88b7,,Tanzania,2018 LR,Panner_691,1,3018.28,3018.28
id_5ddc60a9,0,Kenya,2017 LR,H 6213,1,3009.85,3009.85
id_6b1a5d63,0,Kenya,2017 LR,SC Tembo 73,1,3009.85,3009.85
id_e58bbc00,0,Kenya,2017 LR,H 6213,0.25,748.67,2994.68
id_c7ac264c,1,Kenya,2017 LR,DK 8031,1,2984.05,2984.05
id_fc454d40,0,Kenya,2017 LR,H 6213,0.5,1489.75,2979.5
