ImgID,Quality,human_lat,human_lon,model_lat,model_lon,source_folder
id_0000c1a4,3.0,0.0,0.0,0.5502763998,34.8916031412,east_african_field_centers_planet_label_0000c1a4
id_00016940,0.0,,,0.7873862388,35.0903061512,east_african_field_centers_planet_label_00016940
id_000ab105,0.0,,,-0.6789340686,34.7743827212,east_african_field_centers_planet_label_000ab105
id_000b2146,3.0,0.0,0.0,0.7450719666,34.4595111756,east_african_field_centers_planet_label_000b2146
id_000e690b,0.0,,,0.2490012695,34.8380660858,east_african_field_centers_planet_label_000e690b
id_0014e9c6,0.0,,,0.8435201644,34.9050266814,east_african_field_centers_planet_label_0014e9c6
id_00165638,0.0,,,-0.5481398838,34.7504093545,east_african_field_centers_planet_label_00165638
id_001c0c65,0.0,,,0.5130554516,34.2118907434,east_african_field_centers_planet_label_001c0c65
id_001d8ee5,0.0,,,0.0416213128,34.469744325,east_african_field_centers_planet_label_001d8ee5
id_001db142,0.0,,,0.1699451161,34.5879832774,east_african_field_centers_planet_label_001db142
id_002354b9,0.0,,,0.7888977521,34.929360169,east_african_field_centers_planet_label_002354b9
id_0028708d,0.0,,,0.1170758746,34.6688803934,east_african_field_centers_planet_label_0028708d
id_002d2073,0.0,,,0.7132809288,35.1350126986,east_african_field_centers_planet_label_002d2073
id_002f4543,0.0,,,0.0211524842,35.3426221238,east_african_field_centers_planet_label_002f4543
id_003ee827,0.0,,,-1.004027268,34.500867171,east_african_field_centers_planet_label_003ee827
id_0041145e,0.0,,,0.326608889,34.3024896319,east_african_field_centers_planet_label_0041145e
id_0042d879,0.0,,,0.3878517491,35.0489447805,east_african_field_centers_planet_label_0042d879
id_0045b830,0.0,,,0.5320732056,34.415399896,east_african_field_centers_planet_label_0045b830
id_00488cc1,3.0,-0.804703891,34.67217394,-0.8046787153,34.6721807013,east_african_field_centers_planet_label_00488cc1
id_004993bd,,,,-8.099613308,35.4457884924,east_african_field_centers_planet_label_004993bd
id_004a3841,0.0,,,-0.9058009031,34.9120943421,east_african_field_centers_planet_label_004a3841
id_004b1ad0,0.0,,,0.5226109319,34.136357105,east_african_field_centers_planet_label_004b1ad0
id_004ca83d,0.0,,,-0.7497820664,34.8222453576,east_african_field_centers_planet_label_004ca83d
id_005348a0,0.0,,,0.0054766142,34.5141021225,east_african_field_centers_planet_label_005348a0
id_0053991a,,,,-2.3664011778,29.1290235165,east_african_field_centers_planet_label_0053991a
id_0059f2e1,1.0,0.0,0.0,-0.9943375357,34.3622900032,east_african_field_centers_planet_label_0059f2e1
id_005fa070,0.0,,,-0.8046609918,34.7037853998,east_african_field_centers_planet_label_005fa070
id_006090b3,0.0,,,0.1629812722,34.6305959347,east_african_field_centers_planet_label_006090b3
id_00646716,0.0,,,0.6658505649,34.4351967575,east_african_field_centers_planet_label_00646716
id_0068b9d1,0.0,,,0.0690627801,34.719947242,east_african_field_centers_planet_label_0068b9d1
id_0068e8b2,0.0,,,-0.5699966588,37.069454736,east_african_field_centers_planet_label_0068e8b2
id_006ceea7,0.0,,,0.9149674816,34.8097609424,east_african_field_centers_planet_label_006ceea7
id_006e71cf,0.0,,,0.8008600348,34.7961168184,east_african_field_centers_planet_label_006e71cf
id_0078ec07,0.0,,,0.1240140022,34.5022557303,east_african_field_centers_planet_label_0078ec07
id_00799f81,2.0,0.7785745237,34.9866358614,0.7786567547,34.9870218744,east_african_field_centers_planet_label_00799f81
id_007c2e5d,0.0,,,0.169433658,34.5760457914,east_african_field_centers_planet_label_007c2e5d
id_007f80e2,0.0,,,-0.7469566948,34.7919962913,east_african_field_centers_planet_label_007f80e2
id_008004e7,2.0,0.7243913935,34.868644516,0.7246495691,34.8693104264,east_african_field_centers_planet_label_008004e7
id_00817bb6,0.0,,,0.7046000478,34.7972388849,east_african_field_centers_planet_label_00817bb6
id_0082819f,0.0,,,0.2858965764,34.3454349392,east_african_field_centers_planet_label_0082819f
id_00832d69,0.0,,,-0.6723072246,34.7517943156,east_african_field_centers_planet_label_00832d69
id_00858356,0.0,,,-0.4950076814,34.7395620793,east_african_field_centers_planet_label_00858356
id_00917cf6,0.0,,,0.5817581355,34.5584127149,east_african_field_centers_planet_label_00917cf6
id_0091fb0d,0.0,,,-0.6230142992,34.4260053498,east_african_field_centers_planet_label_0091fb0d
id_00934d4a,0.0,,,-0.0144960547,34.3283481931,east_african_field_centers_planet_label_00934d4a
id_00960072,0.0,,,0.1043691703,34.4149821973,east_african_field_centers_planet_label_00960072
id_009da071,0.0,,,0.1575803097,34.4944066339,east_african_field_centers_planet_label_009da071
id_009ef945,0.0,,,0.4634565218,34.5399845865,east_african_field_centers_planet_label_009ef945
id_00a189b3,1.0,0.0,0.0,0.8069740113,34.9866761116,east_african_field_centers_planet_label_00a189b3
id_00a3b659,0.0,,,1.0863218675,35.2410893231,east_african_field_centers_planet_label_00a3b659
id_00a51fe5,,,,-7.8519355361,35.7807850852,east_african_field_centers_planet_label_00a51fe5
id_00a596a6,2.0,0.088156636,34.5401965749,0.0886914531,34.5396699289,east_african_field_centers_planet_label_00a596a6
id_00afa25a,0.0,,,0.2798436594,35.0030813889,east_african_field_centers_planet_label_00afa25a
id_00b02049,2.0,-0.475601075,35.0006071585,-0.4755989211,35.0007468148,east_african_field_centers_planet_label_00b02049
id_00b8f513,0.0,,,0.6907307746,34.7326182175,east_african_field_centers_planet_label_00b8f513
id_00bf8ebf,0.0,,,0.1207757217,34.6071104397,east_african_field_centers_planet_label_00bf8ebf
id_00c245fb,2.0,-1.0460779604,34.3424672053,-1.0457239982,34.3428227756,east_african_field_centers_planet_label_00c245fb
id_00c3e898,0.0,,,0.8207430371,34.7200073651,east_african_field_centers_planet_label_00c3e898
id_00cbe83a,1.0,0.9149575555,34.8672464293,0.9150441547,34.8667654775,east_african_field_centers_planet_label_00cbe83a
id_00ce2928,0.0,,,0.7984442737,34.6516293343,east_african_field_centers_planet_label_00ce2928
id_00ceaba4,0.0,,,-1.0477127742,34.5674419136,east_african_field_centers_planet_label_00ceaba4
id_00d0abcd,0.0,,,-0.4858719764,34.8476993175,east_african_field_centers_planet_label_00d0abcd
id_00d0e7f4,0.0,,,-0.5278358517,34.7542878529,east_african_field_centers_planet_label_00d0e7f4
id_00d51fe7,0.0,,,0.7565011717,34.7074146536,east_african_field_centers_planet_label_00d51fe7
id_00d9aa71,0.0,,,0.7869277415,34.9912953365,east_african_field_centers_planet_label_00d9aa71
id_00db8386,0.0,,,0.3694859456,35.1616626942,east_african_field_centers_planet_label_00db8386
id_00dc4493,2.0,-0.4879109898,34.9526535201,-0.4875851779,34.9525966594,east_african_field_centers_planet_label_00dc4493
id_00dede1f,0.0,,,0.0379487669,34.8610126464,east_african_field_centers_planet_label_00dede1f
id_00e2d45b,,,,-1.8713351032,29.3635138795,east_african_field_centers_planet_label_00e2d45b
id_00e6e04a,0.0,,,0.4243990475,34.22069647,east_african_field_centers_planet_label_00e6e04a
id_00e7f887,0.0,,,0.8519621705,35.0357805853,east_african_field_centers_planet_label_00e7f887
id_00e9be40,,,,-1.893447148,29.3561615987,east_african_field_centers_planet_label_00e9be40
id_00eda02d,0.0,,,-0.815486223,34.7105911583,east_african_field_centers_planet_label_00eda02d
id_00f54115,1.0,-0.8766796025,34.9337602005,-0.8764448344,34.9340584176,east_african_field_centers_planet_label_00f54115
id_00f7f46e,3.0,-0.7152348361,34.6964329518,-0.6938229311,34.5566371454,east_african_field_centers_planet_label_00f7f46e
id_00fd121b,0.0,,,0.7268403777,35.0604024079,east_african_field_centers_planet_label_00fd121b
id_00fdc6ec,0.0,,,0.3824330352,34.9146751928,east_african_field_centers_planet_label_00fdc6ec
id_00febe28,,,,-2.191383547,29.2846793134,east_african_field_centers_planet_label_00febe28
id_0104256c,0.0,,,0.0612139279,34.3842095829,east_african_field_centers_planet_label_0104256c
id_01043709,0.0,,,0.3146585254,34.1631071511,east_african_field_centers_planet_label_01043709
id_0106ee20,0.0,,,-0.4482944316,35.0109434489,east_african_field_centers_planet_label_0106ee20
id_0110ea04,0.0,,,0.4415899493,34.5552253387,east_african_field_centers_planet_label_0110ea04
id_01146a62,0.0,,,0.3704379214,34.895589566,east_african_field_centers_planet_label_01146a62
id_01185d12,0.0,,,-0.6297270951,34.6932458035,east_african_field_centers_planet_label_01185d12
id_01264421,,,,-1.8713351032,29.3635138795,east_african_field_centers_planet_label_01264421
id_012bdcd8,3.0,1.0137788333,35.173624676,-1.1105848343,34.434526793,east_african_field_centers_planet_label_012bdcd8
id_012c5b50,0.0,,,0.0190303606,34.6611857698,east_african_field_centers_planet_label_012c5b50
id_012eb300,0.0,,,0.0570941374,34.4477562949,east_african_field_centers_planet_label_012eb300
id_012ebc93,3.0,0.1412701963,34.9137293054,0.1413236994,34.9137123393,east_african_field_centers_planet_label_012ebc93
id_0131c0d8,0.0,,,0.222002425,34.5088895642,east_african_field_centers_planet_label_0131c0d8
id_0133e5c9,0.0,,,0.5812905959,34.5597104577,east_african_field_centers_planet_label_0133e5c9
id_01342bd1,0.0,,,0.1427346796,34.4539227665,east_african_field_centers_planet_label_01342bd1
id_0138fdd2,0.0,,,-0.4671866687,34.8662045687,east_african_field_centers_planet_label_0138fdd2
id_013ce1ca,0.0,,,0.8182144511,34.7590198633,east_african_field_centers_planet_label_013ce1ca
id_0141307d,0.0,,,0.042590664,35.0014555174,east_african_field_centers_planet_label_0141307d
id_0142efc7,0.0,,,0.1456232124,34.5944368751,east_african_field_centers_planet_label_0142efc7
id_0144fdaa,0.0,,,1.0769854669,35.2615570533,east_african_field_centers_planet_label_0144fdaa
id_01488419,,,,-7.7521720835,35.7177243701,east_african_field_centers_planet_label_01488419
id_014ab15b,0.0,,,-0.8885599675,34.9680541552,east_african_field_centers_planet_label_014ab15b
id_0155f245,0.0,,,-0.8340235425,34.4782797663,east_african_field_centers_planet_label_0155f245
id_0158ccf2,0.0,,,-1.1001547701,34.2620559399,east_african_field_centers_planet_label_0158ccf2
id_0158d79e,0.0,,,-0.670183629,34.7688278919,east_african_field_centers_planet_label_0158d79e
id_015dc1e4,,,,-9.0172785142,32.8021506623,east_african_field_centers_planet_label_015dc1e4
id_01649a33,0.0,,,0.1902311923,34.5086379687,east_african_field_centers_planet_label_01649a33
id_01665b5b,0.0,,,0.7563382394,34.4056588314,east_african_field_centers_planet_label_01665b5b
id_01715c37,0.0,,,-0.3545199437,34.7653578847,east_african_field_centers_planet_label_01715c37
id_0173ca6c,,,,-8.0076552645,35.5054657964,east_african_field_centers_planet_label_0173ca6c
id_017ac124,0.0,,,0.8022565649,34.6526625496,east_african_field_centers_planet_label_017ac124
id_017b888f,0.0,,,0.8465120266,34.8482564639,east_african_field_centers_planet_label_017b888f
id_018259cd,0.0,,,0.5852245176,34.555652929,east_african_field_centers_planet_label_018259cd
id_01878a03,,,,-8.0153178117,35.4938000835,east_african_field_centers_planet_label_01878a03
id_01892bb8,0.0,,,0.283629709,34.3221135772,east_african_field_centers_planet_label_01892bb8
id_0189f0b0,0.0,,,-0.5494852887,34.7416688473,east_african_field_centers_planet_label_0189f0b0
id_018c230c,0.0,,,-0.8719342002,34.8284577734,east_african_field_centers_planet_label_018c230c
id_018cc2f7,0.0,,,0.2595054925,34.5556241838,east_african_field_centers_planet_label_018cc2f7
id_019bea35,0.0,,,0.794168256,34.9712873749,east_african_field_centers_planet_label_019bea35
id_019ecb5e,0.0,,,0.2258744666,34.4568497034,east_african_field_centers_planet_label_019ecb5e
id_01a8e05c,0.0,,,0.460261466,34.1644339476,east_african_field_centers_planet_label_01a8e05c
id_01ac131d,2.0,0.2542239431,34.4393054908,0.2545937514,34.4391155934,east_african_field_centers_planet_label_01ac131d
id_01b296b9,0.0,,,0.5821091118,34.5583285946,east_african_field_centers_planet_label_01b296b9
id_01b512a5,1.0,0.5821127804,34.5588201347,0.5819425184,34.5582324812,east_african_field_centers_planet_label_01b512a5
id_01b5a35a,,,,-8.7220076784,34.8384672102,east_african_field_centers_planet_label_01b5a35a
id_01b5ea6c,0.0,,,0.7779156208,35.0621493547,east_african_field_centers_planet_label_01b5ea6c
id_01b61d40,0.0,,,-0.4427061584,34.8564896401,east_african_field_centers_planet_label_01b61d40
id_01b63ab7,0.0,,,-0.665497818,34.7912763312,east_african_field_centers_planet_label_01b63ab7
id_01b8d777,,,,-2.0466131254,30.6594594769,east_african_field_centers_planet_label_01b8d777
id_01b9ab48,1.0,-0.7443728847,34.7012284686,-0.7435904244,34.7008245674,east_african_field_centers_planet_label_01b9ab48
id_01be62b3,2.0,0.0,0.0,0.8251220492,34.868545024,east_african_field_centers_planet_label_01be62b3
id_01bf167f,0.0,,,-0.82449681,34.7203367248,east_african_field_centers_planet_label_01bf167f
id_01c5cf6f,0.0,,,0.5083098743,34.7265663797,east_african_field_centers_planet_label_01c5cf6f
id_01c88916,0.0,,,0.7238138129,35.0762576804,east_african_field_centers_planet_label_01c88916
id_01ca2da2,0.0,,,0.5792004041,34.5580914902,east_african_field_centers_planet_label_01ca2da2
id_01ccc3f0,0.0,,,-0.4706123069,34.8992255184,east_african_field_centers_planet_label_01ccc3f0
id_01cd2aa2,0.0,,,0.1989855062,34.7160575201,east_african_field_centers_planet_label_01cd2aa2
id_01ce133f,0.0,,,0.212238652,34.3353995871,east_african_field_centers_planet_label_01ce133f
id_01cf0c82,0.0,,,-0.5316916543,34.9273386478,east_african_field_centers_planet_label_01cf0c82
id_01cf52b3,0.0,,,0.4333065461,34.5481042346,east_african_field_centers_planet_label_01cf52b3
id_01d467c6,0.0,,,0.8280887178,35.1068758599,east_african_field_centers_planet_label_01d467c6
id_01d8af9e,0.0,,,0.4709435288,34.4735889951,east_african_field_centers_planet_label_01d8af9e
id_01e0e4ad,0.0,,,0.3371130671,34.2959291641,east_african_field_centers_planet_label_01e0e4ad
id_01e1a2b1,0.0,,,0.2788148026,34.6271599364,east_african_field_centers_planet_label_01e1a2b1
id_01e22430,0.0,,,-0.5454210099,37.1722916863,east_african_field_centers_planet_label_01e22430
id_01e5243a,0.0,,,0.7934478301,34.9708097902,east_african_field_centers_planet_label_01e5243a
id_01ebd8cc,2.0,-0.6687225564,34.608746767,-0.6683185236,34.6090142929,east_african_field_centers_planet_label_01ebd8cc
id_01ecf908,0.0,,,-0.4456130665,34.9132970223,east_african_field_centers_planet_label_01ecf908
id_01efad86,2.0,0.0,0.0,0.3180961923,35.1244816629,east_african_field_centers_planet_label_01efad86
id_01f0b65c,0.0,,,-0.8865203627,34.9266206915,east_african_field_centers_planet_label_01f0b65c
id_01f11a42,0.0,,,0.7010944764,35.1384768157,east_african_field_centers_planet_label_01f11a42
id_01f23526,0.0,,,0.5971068181,34.7768304563,east_african_field_centers_planet_label_01f23526
id_01f3cea8,0.0,,,-0.5493324743,37.0285032064,east_african_field_centers_planet_label_01f3cea8
id_01f541f8,0.0,,,0.0435897356,35.0017571854,east_african_field_centers_planet_label_01f541f8
id_01f5d68b,0.0,,,0.1241512153,34.3241996042,east_african_field_centers_planet_label_01f5d68b
id_01f8c558,,,,-7.7434007485,35.8712353334,east_african_field_centers_planet_label_01f8c558
id_01fc4551,,,,-2.1211559195,29.3852529051,east_african_field_centers_planet_label_01fc4551
id_01fe42cf,,,,-7.7235646935,35.8457377931,east_african_field_centers_planet_label_01fe42cf
id_02050f85,2.0,0.7583032593,34.5076267673,0.7584492119,34.5075861845,east_african_field_centers_planet_label_02050f85
id_020fab16,0.0,,,0.0566972934,34.5086990582,east_african_field_centers_planet_label_020fab16
id_0211ffd4,0.0,,,0.6194045037,34.828445483,east_african_field_centers_planet_label_0211ffd4
id_02141b91,0.0,,,-1.0531384463,34.4472980153,east_african_field_centers_planet_label_02141b91
id_02194229,0.0,,,-0.7039682794,34.7597436327,east_african_field_centers_planet_label_02194229
id_0219501e,0.0,,,0.4105403915,34.1688333825,east_african_field_centers_planet_label_0219501e
id_021e700e,0.0,,,0.4741315451,34.2353986895,east_african_field_centers_planet_label_021e700e
id_021fb957,,,,-7.8317499439,35.7501489165,east_african_field_centers_planet_label_021fb957
id_02208940,3.0,0.8402510397,34.7622806536,0.8403309991,34.7620557596,east_african_field_centers_planet_label_02208940
id_022e2408,0.0,,,0.2074498162,34.5016237413,east_african_field_centers_planet_label_022e2408
id_022e9f6b,0.0,,,-0.6114796757,34.8398946767,east_african_field_centers_planet_label_022e9f6b
id_02321ce7,0.0,,,0.1408151594,34.6069237883,east_african_field_centers_planet_label_02321ce7
id_0232461c,0.0,,,0.8022396218,34.6522827382,east_african_field_centers_planet_label_0232461c
id_02338957,0.0,,,-0.802119647,34.5787799823,east_african_field_centers_planet_label_02338957
id_0234dd52,0.0,,,-0.6408679406,34.5068335405,east_african_field_centers_planet_label_0234dd52
id_0236c298,0.0,,,0.9716728096,34.8695006355,east_african_field_centers_planet_label_0236c298
id_023a8bcd,0.0,,,0.7924782169,34.4687371124,east_african_field_centers_planet_label_023a8bcd
id_023c0ae4,,,,-8.0347066761,35.5422843703,east_african_field_centers_planet_label_023c0ae4
id_023d2d49,2.0,1.0104435798,34.8240147043,1.0103190667,34.8238015253,east_african_field_centers_planet_label_023d2d49
id_023d5ff5,0.0,,,0.4444824379,34.7662358637,east_african_field_centers_planet_label_023d5ff5
id_023ea498,0.0,,,0.640580289,34.9574805821,east_african_field_centers_planet_label_023ea498
id_0240fe83,0.0,,,-0.5693148829,34.7129988325,east_african_field_centers_planet_label_0240fe83
