BoxAWetWeight,Urea_Kgs,Season,Variety,Country,BoxBLength,PlotSize_acres,CAN_Kgs,Year,BoxBDryWeight,DAP_Kgs,NPK_Kgs,BoxALength,BoxAWidth,PlantingDate,BoxBWetWeight,ImgID,Longitude,BoxBWidth,Latitude,BoxADryWeight
19.3,,2015 LR,,Kenya,8.0,0.5,25.0,2015,11.75,25.0,,8.0,5.0,,21.4,id_0000c1a4,34.89157253,5.0,0.550280393,9.5
,,2018 LR,,Kenya,,0.5,,2018,6.11,,,,,,,id_00016940,35.0903318,,0.7873138,8.92
,,2018 LR,,Kenya,,0.5,,2018,5.95,,,,,,,id_000ab105,34.77436145,,-0.678931115,6.0
3.8,,2016 LR,H_614D,Kenya,8.0,0.25,12.5,2016,9.95,12.5,,8.0,5.0,4/19/2016,13.95,id_000b2146,34.45950388,5.0,0.745093131,6.5
22.75,,2016 LR,H 614D,Kenya,5.0,0.5,25.0,2016,12.2,25.0,,5.0,8.0,,21.6,id_000e690b,34.83810713,8.0,0.248965025,12.2
,,2018 LR,,Kenya,,0.25,,2018,39.55,,,,,,,id_0014e9c6,34.905037,,0.8434993,39.2
26.45,,2016 LR,DK_8031,Kenya,8.0,0.25,12.5,2016,6.0,12.5,,,5.0,,27.65,id_00165638,34.75039804,,-0.548206051,6.45
,,2018 LR,,Kenya,,0.25,,2018,7.0,,,,,,,id_001c0c65,34.2119412,,0.5129975,11.0
25.25,,2015 LR,,Kenya,,0.5,0.0,2015,21.8,25.0,,,,,40.2,id_001d8ee5,34.46974013,,0.041628777,13.4
,,2017 LR,WH 505,Kenya,8.0,0.5,25.0,2017,14.5,25.0,,8.0,5.0,,,id_001db142,34.5878809,5.0,0.1699403,15.1
,,2018 LR,,Kenya,,0.5,,2018,31.05,,,,,,,id_002354b9,34.92929,,0.7889547,29.35
11.5,,2016 LR,WH_505,Kenya,8.0,2.0,25.0,2016,3.1,25.0,,8.0,5.0,3/23/2016,5.95,id_0028708d,34.66892105,5.0,0.117071855,5.45
25.95,,2018 LR,h6213,Kenya,6.0,0.7,,2018,,50.0,,6.0,6.0,4/7/2018,21.15,id_002d2073,35.1351508,6.0,0.7130745,
7.0,,2016 LR,H_614D,Kenya,8.0,1.0,50.0,2016,9.85,50.0,,8.0,5.0,4/8/2016,19.1,id_002f4543,35.34263041,5.0,0.021183745,3.35
18.25,,2015 LR,,Kenya,8.0,0.75,25.0,2015,10.0,25.0,,8.0,5.0,,15.5,id_003ee827,34.50088609,5.0,-1.004024176,13.7
,,2017 LR,,Kenya,8.0,0.5,25.0,2017,11.55,25.0,,8.0,5.0,,,id_0041145e,34.30252102,5.0,0.326630179,14.15
,,2018 LR,,Kenya,,0.5,,2018,5.0,,,,,,,id_0042d879,35.0489751,,0.3878306,7.0
6.2,,2016 LR,,Kenya,8.0,0.5,8.0,2016,3.1,10.0,,,5.0,,5.7,id_0045b830,34.41542023,,0.532095966,3.5
22.0,,2018 LR,dk8031,Kenya,6.0,1.0,25.0,2018,,50.0,,6.0,6.0,2/10/2018,23.45,id_00488cc1,34.67217394,6.0,-0.804703891,
7.1,,2018 LR,Ks_614,Tanzania,6.0,1.0,,2018,6.1,25.0,,6.0,6.0,,9.0,id_004993bd,35.4457815,6.0,-8.0996181,5.5
24.0,,2018 LR,h6213,Kenya,6.0,1.0,,2018,,8.0,,6.0,6.0,1/18/2018,15.1,id_004a3841,34.91209012,6.0,-0.905636769,
